,file_path,emotion,dataset
0,D:\VocalCoach\RAVDESS\Actor_01\03-01-01-01-01-01-01.wav,Neutral,RAVDESS
1,D:\VocalCoach\RAVDESS\Actor_01\03-01-01-01-01-02-01.wav,Neutral,RAVDESS
2,D:\VocalCoach\RAVDESS\Actor_01\03-01-01-01-02-01-01.wav,Neutral,RAVDESS
3,D:\VocalCoach\RAVDESS\Actor_01\03-01-01-01-02-02-01.wav,Neutral,RAVDESS
4,D:\VocalCoach\RAVDESS\Actor_01\03-01-02-01-01-01-01.wav,Neutral,RAVDESS
5,D:\VocalCoach\RAVDESS\Actor_01\03-01-02-01-01-02-01.wav,Neutral,RAVDESS
6,D:\VocalCoach\RAVDESS\Actor_01\03-01-02-01-02-01-01.wav,Neutral,RAVDESS
7,D:\VocalCoach\RAVDESS\Actor_01\03-01-02-01-02-02-01.wav,Neutral,RAVDESS
8,D:\VocalCoach\RAVDESS\Actor_01\03-01-02-02-01-01-01.wav,Neutral,RAVDESS
9,D:\VocalCoach\RAVDESS\Actor_01\03-01-02-02-01-02-01.wav,Neutral,RAVDESS
10,D:\VocalCoach\RAVDESS\Actor_01\03-01-02-02-02-01-01.wav,Neutral,RAVDESS
11,D:\VocalCoach\RAVDESS\Actor_01\03-01-02-02-02-02-01.wav,Neutral,RAVDESS
12,D:\VocalCoach\RAVDESS\Actor_01\03-01-03-01-01-01-01.wav,Happiness,RAVDESS
13,D:\VocalCoach\RAVDESS\Actor_01\03-01-03-01-01-02-01.wav,Happiness,RAVDESS
14,D:\VocalCoach\RAVDESS\Actor_01\03-01-03-01-02-01-01.wav,Happiness,RAVDESS
15,D:\VocalCoach\RAVDESS\Actor_01\03-01-03-01-02-02-01.wav,Happiness,RAVDESS
16,D:\VocalCoach\RAVDESS\Actor_01\03-01-03-02-01-01-01.wav,Happiness,RAVDESS
17,D:\VocalCoach\RAVDESS\Actor_01\03-01-03-02-01-02-01.wav,Happiness,RAVDESS
18,D:\VocalCoach\RAVDESS\Actor_01\03-01-03-02-02-01-01.wav,Happiness,RAVDESS
19,D:\VocalCoach\RAVDESS\Actor_01\03-01-03-02-02-02-01.wav,Happiness,RAVDESS
20,D:\VocalCoach\RAVDESS\Actor_01\03-01-04-01-01-01-01.wav,Sadness,RAVDESS
21,D:\VocalCoach\RAVDESS\Actor_01\03-01-04-01-01-02-01.wav,Sadness,RAVDESS
22,D:\VocalCoach\RAVDESS\Actor_01\03-01-04-01-02-01-01.wav,Sadness,RAVDESS
23,D:\VocalCoach\RAVDESS\Actor_01\03-01-04-01-02-02-01.wav,Sadness,RAVDESS
24,D:\VocalCoach\RAVDESS\Actor_01\03-01-04-02-01-01-01.wav,Sadness,RAVDESS
