,file_path,emotion,dataset
0,C:\EMOTION\Ravdess Set\Actor_01\03-01-01-01-01-01-01.wav,01,RAVDESS
1,C:\EMOTION\Ravdess Set\Actor_01\03-01-01-01-01-02-01.wav,01,RAVDESS
2,C:\EMOTION\Ravdess Set\Actor_01\03-01-01-01-02-01-01.wav,01,RAVDESS
3,C:\EMOTION\Ravdess Set\Actor_01\03-01-01-01-02-02-01.wav,01,RAVDESS
4,C:\EMOTION\Ravdess Set\Actor_01\03-01-02-01-01-01-01.wav,02,RAVDESS
5,C:\EMOTION\Ravdess Set\Actor_01\03-01-02-01-01-02-01.wav,02,RAVDESS
6,C:\EMOTION\Ravdess Set\Actor_01\03-01-02-01-02-01-01.wav,02,RAVDESS
7,C:\EMOTION\Ravdess Set\Actor_01\03-01-02-01-02-02-01.wav,02,RAVDESS
8,C:\EMOTION\Ravdess Set\Actor_01\03-01-02-02-01-01-01.wav,02,RAVDESS
9,C:\EMOTION\Ravdess Set\Actor_01\03-01-02-02-01-02-01.wav,02,RAVDESS
10,C:\EMOTION\Ravdess Set\Actor_01\03-01-02-02-02-01-01.wav,02,RAVDESS
11,C:\EMOTION\Ravdess Set\Actor_01\03-01-02-02-02-02-01.wav,02,RAVDESS
12,C:\EMOTION\Ravdess Set\Actor_01\03-01-03-01-01-01-01.wav,03,RAVDESS
13,C:\EMOTION\Ravdess Set\Actor_01\03-01-03-01-01-02-01.wav,03,RAVDESS
14,C:\EMOTION\Ravdess Set\Actor_01\03-01-03-01-02-01-01.wav,03,RAVDESS
15,C:\EMOTION\Ravdess Set\Actor_01\03-01-03-01-02-02-01.wav,03,RAVDESS
16,C:\EMOTION\Ravdess Set\Actor_01\03-01-03-02-01-01-01.wav,03,RAVDESS
17,C:\EMOTION\Ravdess Set\Actor_01\03-01-03-02-01-02-01.wav,03,RAVDESS
18,C:\EMOTION\Ravdess Set\Actor_01\03-01-03-02-02-01-01.wav,03,RAVDESS
19,C:\EMOTION\Ravdess Set\Actor_01\03-01-03-02-02-02-01.wav,03,RAVDESS
20,C:\EMOTION\Ravdess Set\Actor_01\03-01-04-01-01-01-01.wav,04,RAVDESS
21,C:\EMOTION\Ravdess Set\Actor_01\03-01-04-01-01-02-01.wav,04,RAVDESS
22,C:\EMOTION\Ravdess Set\Actor_01\03-01-04-01-02-01-01.wav,04,RAVDESS
23,C:\EMOTION\Ravdess Set\Actor_01\03-01-04-01-02-02-01.wav,04,RAVDESS
24,C:\EMOTION\Ravdess Set\Actor_01\03-01-04-02-01-01-01.wav,04,RAVDESS
25,C:\EMOTION\Ravdess Set\Actor_01\03-01-04-02-01-02-01.wav,04,RAVDESS
26,C:\EMOTION\Ravdess Set\Actor_01\03-01-04-02-02-01-01.wav,04,RAVDESS
27,C:\EMOTION\Ravdess Set\Actor_01\03-01-04-02-02-02-01.wav,04,RAVDESS
28,C:\EMOTION\Ravdess Set\Actor_01\03-01-05-01-01-01-01.wav,05,RAVDESS
29,C:\EMOTION\Ravdess Set\Actor_01\03-01-05-01-01-02-01.wav,05,RAVDESS
30,C:\EMOTION\Ravdess Set\Actor_01\03-01-05-01-02-01-01.wav,05,RAVDESS
31,C:\EMOTION\Ravdess Set\Actor_01\03-01-05-01-02-02-01.wav,05,RAVDESS
32,C:\EMOTION\Ravdess Set\Actor_01\03-01-05-02-01-01-01.wav,05,RAVDESS
33,C:\EMOTION\Ravdess Set\Actor_01\03-01-05-02-01-02-01.wav,05,RAVDESS
34,C:\EMOTION\Ravdess Set\Actor_01\03-01-05-02-02-01-01.wav,05,RAVDESS
35,C:\EMOTION\Ravdess Set\Actor_01\03-01-05-02-02-02-01.wav,05,RAVDESS
36,C:\EMOTION\Ravdess Set\Actor_01\03-01-06-01-01-01-01.wav,06,RAVDESS
37,C:\EMOTION\Ravdess Set\Actor_01\03-01-06-01-01-02-01.wav,06,RAVDESS
38,C:\EMOTION\Ravdess Set\Actor_01\03-01-06-01-02-01-01.wav,06,RAVDESS
39,C:\EMOTION\Ravdess Set\Actor_01\03-01-06-01-02-02-01.wav,06,RAVDESS
40,C:\EMOTION\Ravdess Set\Actor_01\03-01-06-02-01-01-01.wav,06,RAVDESS
41,C:\EMOTION\Ravdess Set\Actor_01\03-01-06-02-01-02-01.wav,06,RAVDESS
42,C:\EMOTION\Ravdess Set\Actor_01\03-01-06-02-02-01-01.wav,06,RAVDESS
